,PRODUCT,DETAIL,MRP,EMI
0,2020 Maruti Dzire,800 km1st OwnerPetrol,"₹604,499","₹13,447/month"
20,2015 Maruti Ritz,"22,091 km1st OwnerDiesel","₹374,499","₹8,331/month"
40,2016 Hyundai Eon,"19,404 km2nd OwnerPetrol","₹246,099","₹5,474/month"
60,2013 Maruti Swift Dzire,"44,284 km1st OwnerDiesel","₹380,599","₹8,466/month"
80,2016 Maruti Alto 800,"32,339 km1st OwnerPetrol","₹285,199","₹6,344/month"
100,2013 Maruti Ertiga,"39,203 km1st OwnerDiesel","₹492,599","₹10,958/month"
120,2018 Ford Figo Aspire,"12,007 km1st OwnerPetrol","₹534,255","₹11,884/month"
140,2017 Maruti Alto 800,"41,185 km1st OwnerPetrol","₹283,199","₹6,300/month"
160,2015 Honda Amaze,"27,407 km1st OwnerPetrol","₹516,599","₹11,491/month"
180,2013 Maruti Swift Dzire,"27,712 km1st OwnerPetrol","₹385,000","₹8,564/month"
200,2018 Hyundai Elite i20,"3,984 km1st OwnerPetrol","₹625,000","₹13,903/month"
220,2019 Maruti Eeco,"23,051 km1st OwnerPetrol + CNG","₹479,499","₹10,666/month"
240,2014 Volkswagen Vento,"57,461 km1st OwnerPetrol","₹417,699","₹9,291/month"
260,2018 Toyota YARIS,"14,459 km1st OwnerPetrol","₹805,499","₹17,918/month"
280,2018 Maruti Wagon R 1.0,"27,622 km1st OwnerPetrol","₹415,000","₹9,231/month"
300,2010 Maruti Swift Dzire,"61,308 km1st OwnerPetrol","₹289,499","₹6,440/month"
320,2011 Hyundai i20,"72,829 km2nd OwnerPetrol + CNG","₹260,000","₹5,784/month"
340,2013 Toyota Etios Liva,"65,986 km1st OwnerDiesel","₹320,699","₹7,134/month"
360,2013 Maruti Ertiga,"48,789 km1st OwnerDiesel","₹558,299","₹12,419/month"
380,2017 Hyundai Elite i20,"45,517 km1st OwnerPetrol","₹527,799","₹11,741/month"
400,2014 Datsun Go,"54,984 km1st OwnerPetrol","₹195,899","₹4,358/month"
420,2013 Maruti Swift,"68,546 km1st OwnerDiesel","₹353,499","₹7,863/month"
440,2008 Honda Accord,"61,728 km2nd OwnerPetrol","₹301,899","₹6,716/month"
